"replyText","id","screenName","created"
"Your tweet didn't have any loaction information, ensure you have turned on this feature on your mobile device","407523393143975936","_NickGolding_",2013-12-02 14:55:23
"Your tweet didn't have any loaction information, ensure you have turned on this feature on your mobile device","407523393143975936","_NickGolding_",2013-12-02 14:55:23
"Your tweet didn't have any loaction information, ensure you have turned on this feature on your mobile device","407523393143975936","_NickGolding_",2013-12-02 14:55:23
"Your location is SU6169289619, easting:461692 northing:189619, latitude:51.60204708 longitude:-1.11064837","407539745624190976","tomaugust1985",2013-12-02 16:00:21
"Your tweet didn't have any loaction information, ensure you have turned on this feature on your mobile device","407642015661588480","NatureNearMe",2013-12-02 22:46:44
"Your tweet didn't have any loaction information, ensure you have turned on this feature on your mobile device","407642848918777857","NatureNearMe",2013-12-02 22:50:03
"Your tweet didn't have any loaction information, ensure you have turned on this feature on your mobile device","407642931844374528","NatureNearMe",2013-12-02 22:50:23
"Your tweet didn't have any loaction information, ensure you have turned on this feature on your mobile device","407642931844374528","NatureNearMe",2013-12-02 22:50:23
"Your tweet didn't have any loaction information, ensure you have turned on this feature on your mobile device","407642848918777857","NatureNearMe",2013-12-02 22:50:03
"Your tweet didn't have any loaction information, ensure you have turned on this feature on your mobile device","407642015661588480","NatureNearMe",2013-12-02 22:46:44
"Your location is SU6169289619, easting:461692 northing:189619, latitude:51.60204708 longitude:-1.11064837","407539745624190976","tomaugust1985",2013-12-02 16:00:21
"Your tweet didn't have any loaction information, ensure you have turned on this feature on your mobile device","407523393143975936","_NickGolding_",2013-12-02 14:55:23
"Your tweet didn't have any loaction information, ensure you have turned on this feature on your mobile device","407523039773876224","_NickGolding_",2013-12-02 14:53:58
"Your tweet didn't have any loaction information, ensure you have turned on this feature on your mobile device","407646967720714240","tomaugust1985",2013-12-02 23:06:25
"Your tweet didn't have any loaction information, ensure you have turned on this feature on your mobile device","407648109062127616","tomaugust1985",2013-12-02 23:10:57
"Your tweet didn't have any loaction information, ensure you have turned on this feature on your mobile device","407648971805716480","tomaugust1985",2013-12-02 23:14:23
"Your location is SP4888705804, easting:448887 northing:205804, latitude:51.74881388 longitude:-1.29325536","407649256120807424","tomaugust1985",2013-12-02 23:15:31
"Your location is SP4887205773, easting:448872 northing:205773, latitude:51.74853846 longitude:-1.29347895","407649508441743360","tomaugust1985",2013-12-02 23:16:31
"Your location is SU6169889645, easting:461698 northing:189645, latitude:51.60228278 longitude:-1.1105562","407831158291193856","tomaugust1985",2013-12-03 11:18:19
"Your location is SU6169789643, easting:461697 northing:189643, latitude:51.60226616 longitude:-1.11056645","407845105060810752","tomaugust1985",2013-12-03 12:13:45
"Your location is SP4889805794, easting:448898 northing:205794, latitude:51.7487201 longitude:-1.29310247","407946267638386688","tomaugust1985",2013-12-03 18:55:44
"Your tweet didn't have any loaction information, ensure you have turned on this feature on your mobile device","407949841869053952","tomaugust1985",2013-12-03 19:09:56
"Your location is SP4890105788, easting:448901 northing:205788, latitude:51.74866925 longitude:-1.29304706","407957320732520448","tomaugust1985",2013-12-03 19:39:39
"Your location is SP4890505789, easting:448905 northing:205789, latitude:51.7486795 longitude:-1.29299357","407958338404900864","tomaugust1985",2013-12-03 19:43:42
"Your location is SP4890305772, easting:448903 northing:205772, latitude:51.74852354 longitude:-1.2930275","407965791754420224","tomaugust1985",2013-12-03 20:13:19
"Your tweet didn't have any location information, ensure you have turned on this feature on your mobile device","407966033535049728","tomaugust1985",2013-12-03 20:14:16
"Your tweet didn't have any location information, ensure you have turned on this feature on your mobile device","407996923489296384","_NickGolding_",2013-12-03 22:17:01
"Your location is SP4888305775, easting:448883 northing:205775, latitude:51.74855372 longitude:-1.2933207","455002382188179456","tomaugust1985",2014-04-12 15:19:56
